movie_name;year;rating;actor
Hotel Transylvania 3: Summer Vacation;2018;6.3;Adam Sandler
The Week Of;2018;5.1;Adam Sandler
The Meyerowitz Stories (New and Selected);2017;6.9;Adam Sandler
Sandy Wexler;2017;5.1;Adam Sandler
The Do-Over;2016;5.7;Adam Sandler
The Ridiculous 6;2015;4.8;Adam Sandler
Hotel Transylvania 2;2015;6.7;Adam Sandler
Pixels;2015;5.6;Adam Sandler
The Cobbler;2014;5.8;Adam Sandler
Men, Women & Children;2014;6.7;Adam Sandler
Top Five;2014;6.4;Adam Sandler
Blended;2014;6.5;Adam Sandler
Grown Ups 2;2013;5.4;Adam Sandler
Hotel Transylvania;2012;7.1;Adam Sandler
That's My Boy;2012;5.6;Adam Sandler
Jack and Jill;2011;3.3;Adam Sandler
Zookeeper;2011;5.2;Adam Sandler
Just Go with It;2011;6.4;Adam Sandler
Grown Ups ;2010;6.0;Adam Sandler
Funny People;2009;6.3;Adam Sandler
Bedtime Stories;2008;6.1;Adam Sandler
You Don't Mess with the Zohan;2008;5.5;Adam Sandler
Now Pronounce You Chuck & Larry;2007;6.0;Adam Sandler
Reign Over Me ;2007;7.5;Adam Sandler
Click;2006;6.4;Adam Sandler
The Longest Yard;2005;6.4;Adam Sandler
Spanglish;2004;6.4;Adam Sandler
50 First Dates ;2004;6.8;Adam Sandler
Anger Management;2003;6.2;Adam Sandler
Mr. Deeds;2002;5.8;Adam Sandler
First Man;2018;7.5;Ryan Gosling
Blade Runner 2049;2017;8.0;Ryan Gosling
Song to Song;2017;5.7;Ryan Gosling
La La Land;2016;8.0;Ryan Gosling
The Nice Guys;2016;7.4;Ryan Gosling
The Big Short;2015;7.8;Ryan Gosling
Only God Forgives;2013;5.7;Ryan Gosling
Gangster Squad;2013;6.7;Ryan Gosling
The Place Beyond the Pines;2012;7.3;Ryan Gosling
The Ides of March;2011;7.1;Ryan Gosling
Crazy, Stupid, Love.;2011;7.4;Ryan Gosling
Drive;2011;7.8;Ryan Gosling
All Good Things;2010;6.3;Ryan Gosling
Blue Valentine;2010;7.4;Ryan Gosling
Lars and the Real Girl;2007;7.3;Ryan Gosling
Fracture;2007;7.2;Ryan Gosling
Half Nelson;2006;7.2;Ryan Gosling
Stay;2005;6.9;Ryan Gosling
The Notebook;2004;7.9;Ryan Gosling
The United States of Leland;2003;7.1;Ryan Gosling
Murder by Numbers;2002;6.1;Ryan Gosling
The Slaughter Rule;2002;6.1;Ryan Gosling
The Believer;2001;7.2;Ryan Gosling
Remember the Titans;2000;7.8;Ryan Gosling
Frankenstein and Me;1996;5.5;Ryan Gosling